file,face,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
handshake,1,0.2786147,0.21115868,0.33725622,0.28027472,0.7916151,1.0,0.62188125,0.9868774,0.0,0.90172493,0.70512724,0.18813187,0.3967027,1.0,0.39810148,0.6206815,0.9997874,0.6128517,0.6638826,0.8941323
handshake,2,0.52511096,0.53365767,0.53516394,0.27487174,0.17935875,0.0,0.3009231,0.16733834,0.0,0.07702514,0.12072592,0.67062175,0.48721588,1.0,0.5019117,0.38793665,0.84067905,0.63178533,0.19105583,0.8851942
happy-man,0,0.41439435,0.34339818,0.22586314,0.28678343,0.9150376,0.0,0.50350803,0.92107916,1.0,0.9784741,0.5576907,0.065610886,0.34297514,1.0,0.15259285,0.12801243,0.9998405,0.59576625,0.09092799,0.3277708
laughing-couple,0,0.4976942,0.6012346,0.38927838,0.31599796,0.9183619,1.0,0.59962195,0.81283724,1.0,0.9190787,0.763034,0.123162664,0.39563575,0.0,0.19694884,0.32410532,0.9626197,0.5149928,0.07525951,0.7547436
laughing-couple,1,0.5272825,0.25765982,0.7034464,0.28106207,0.3627219,0.0,0.6985492,0.046335783,0.0,0.14900376,0.5275726,0.4079995,0.49586034,1.0,0.70905626,0.34852007,0.99240404,0.5045826,0.71295714,0.24204043
laughing-couple,2,0.7690551,0.3877336,0.60632604,0.31464356,0.3193269,1.0,0.5901631,0.1969124,1.0,0.1852621,0.308464,0.55650574,0.55947983,1.0,0.4788052,0.13030364,0.9982526,0.6279353,0.07205811,0.83215404
pain,0,0.3807762,0.35818622,0.5685802,0.37676656,0.7415339,1.0,0.57429934,0.93576396,0.0,0.83695155,0.4706451,0.20930684,0.4457286,1.0,0.37208694,0.39927366,0.6463786,0.2798295,0.1024738,0.8171098
piggyback,0,0.6138051,0.23350528,0.57167435,0.31043506,0.75416505,1.0,0.51103795,0.9278678,1.0,0.6506263,0.23469585,0.47020862,0.29601315,1.0,0.21046035,0.030483108,0.99918646,0.7498831,0.022356443,0.30597916
piggyback,1,0.33740667,0.43931568,0.37785974,0.25341606,0.7142735,1.0,0.47763267,0.9612992,1.0,0.76832545,0.6636319,0.28230986,0.20234573,1.0,0.25121155,0.03368383,0.9999286,0.31782946,0.3394444,0.8517194
sad-man,0,0.6132724,0.48998827,0.2100419,0.48704422,0.20604408,1.0,0.21875091,0.039397076,1.0,0.2751333,0.39833272,0.22318842,0.43026915,0.0,0.34997523,0.621547,0.8109273,0.46163917,0.023233917,0.4103527
sad-woman,0,0.65572405,0.55864686,0.25048748,0.32081172,0.07552482,0.0,0.30104944,0.00033632232,1.0,0.023044713,0.14380921,0.41212624,0.40869626,0.0,0.29013073,0.42470542,0.4369312,0.29922658,0.17011578,0.9424751
students,0,0.55774826,0.19476219,0.75775045,0.28056374,0.36319232,1.0,0.6227676,0.0131450705,0.0,0.06479436,0.12645593,0.66976535,0.4915778,1.0,0.5213536,0.13496758,0.92675406,0.77710885,0.3793608,0.80653334
students,1,0.45080924,0.1897228,0.08444465,0.35365656,0.93417346,1.0,0.61102927,0.80381936,0.0,0.9702257,0.8741188,0.44184124,0.105153024,1.0,0.09758843,0.007822322,0.999959,0.617035,0.06590471,0.044401348
students,2,0.40236452,0.24704266,0.3445391,0.3566392,0.6444224,0.0,0.5985566,0.5862076,1.0,0.6827037,0.69142985,0.18455748,0.3105247,1.0,0.5646485,0.08268487,0.99075365,0.46448126,0.06520405,0.030154578
students,3,0.41265664,0.12925035,0.774379,0.29869828,0.5190613,0.0,0.4829509,0.88728386,0.0,0.38254043,0.68643516,0.33605167,0.33717304,1.0,0.73926574,0.036695104,0.9995914,0.75564265,0.14710616,0.7723926
tablet,0,0.3079113,0.14801633,0.621436,0.29797736,0.08266111,0.0,0.18598887,0.011146353,1.0,0.024546238,0.33722526,0.43592402,0.570178,0.0,0.38472944,0.5934601,0.11033426,0.21633768,0.43426892,0.37264463
thumbs-up,0,0.3395398,0.41859147,0.31902057,0.2247494,0.95200413,1.0,0.5769484,0.9976057,0.0,0.9895056,0.6979293,0.025726521,0.1356062,1.0,0.0627165,0.0053551216,0.9999815,0.35416025,0.01678021,0.28588957
