emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
surprise,0.36172187,0.3423066,0.55350137,0.35396555,0.16197817,0.0,0.3959021,0.40229443,0.0,0.102920555,0.482571,0.22234313,0.38325322,1.0,0.55550826,0.35993928,0.8719393,0.2704323,0.47135463,0.38518292
angry,0.58444846,0.5353661,0.41426748,0.31418025,0.8718348,1.0,0.43344063,0.98751765,1.0,0.8569774,0.6902426,0.23734576,0.23434898,1.0,0.29731104,0.028845785,0.9996872,0.6562687,0.09617641,0.8602603
happy,0.4170557,0.3250533,0.35582167,0.24362,0.6499396,0.0,0.53798056,0.3515361,0.0,0.9006,0.7438338,0.33117506,0.4860205,0.0,0.5027962,0.42261958,0.41882244,0.022221407,0.34665543,0.6224424
surprise,0.49095377,0.1691181,0.47992405,0.30740055,0.22150493,0.0,0.48503733,0.25010878,1.0,0.3729955,0.7161739,0.22691406,0.28495267,1.0,0.4515071,0.15233834,0.9525445,0.34124273,0.09849868,0.15967254
neutral,0.2406504,0.12578972,0.46641716,0.29829347,0.23657116,1.0,0.30340883,0.036523446,0.0,0.15179557,0.32973272,0.32101852,0.49256867,0.0,0.42627943,0.46190557,0.068452515,0.1482739,0.23408233,0.48290053
fear,0.31338283,0.28541747,0.6565245,0.3091919,0.120114416,0.0,0.2708826,0.45368174,1.0,0.07356533,0.27903092,0.40791428,0.59039557,0.0,0.34921587,0.5233816,0.13579491,0.1097285,0.12936175,0.09334569
happy,0.44729167,0.23284644,0.73173136,0.24442995,0.748039,1.0,0.6284508,0.87579143,1.0,0.8924741,0.7626367,0.45005062,0.657569,0.0,0.58385265,0.82235754,0.40119228,0.12919065,0.52342796,0.79987025
fear,0.34568313,0.12587795,0.3974719,0.31056538,0.23280449,1.0,0.3605244,0.06963138,0.0,0.10656718,0.2212518,0.11863625,0.48261294,0.0,0.5454252,0.37257704,0.7472659,0.09023164,0.35577625,0.4799142
happy,0.35636955,0.16148992,0.5760788,0.2633907,0.4233614,1.0,0.4992216,0.26286882,0.0,0.7404829,0.38216427,0.3358463,0.42554885,0.0,0.46082583,0.6058755,0.8186336,0.046496578,0.24756835,0.4006553
happy,0.26612774,0.13406186,0.45491126,0.27165958,0.70057946,0.0,0.47089356,0.3255577,0.0,0.89971936,0.63367164,0.116431236,0.45364866,1.0,0.5447077,0.4808183,0.3838768,0.08688618,0.25145105,0.8627614
neutral,0.3651213,0.2301535,0.43823433,0.27231914,0.47469398,0.0,0.56887656,0.986697,1.0,0.6843586,0.55169797,0.36587217,0.42544654,0.0,0.5810578,0.6657987,0.029224705,0.15851928,0.6648907,0.256152
fear,0.3336615,0.23266558,0.25543764,0.33510825,0.12854147,0.0,0.34496453,0.7824248,1.0,0.0729783,0.3792238,0.32055417,0.4741046,0.0,0.368187,0.44151405,0.9309217,0.241949,0.1994416,0.23533557
neutral,0.30991364,0.2677475,0.5460343,0.25033528,0.25092584,0.0,0.42294613,0.63292,0.0,0.17139202,0.7094273,0.39442915,0.46564382,0.0,0.5309806,0.55836236,0.0072977054,0.2167556,0.33694044,0.44805068
surprise,0.47895864,0.2606097,0.53289735,0.35353458,0.060995255,0.0,0.36628866,0.14568281,0.0,0.079593055,0.2154303,0.21640117,0.320742,0.0,0.5880933,0.17427261,0.8651973,0.49707255,0.2514821,0.19350424
happy,0.4267194,0.4563916,0.44462907,0.29324707,0.669103,1.0,0.52826804,0.9144524,1.0,0.8080479,0.49732468,0.25203738,0.38592938,1.0,0.37681222,0.07826805,0.9837569,0.35951746,0.25488254,0.7826083
neutral,0.3020386,0.21960385,0.3934721,0.25634235,0.31417018,0.0,0.31666118,0.13458483,1.0,0.13620728,0.56517816,0.14431442,0.39790404,0.0,0.42939845,0.5877975,0.013261783,0.15250283,0.20303522,0.24155533
neutral,0.2719412,0.24630705,0.29112685,0.29648688,0.37204528,0.0,0.3377336,0.077510566,1.0,0.29847774,0.5865873,0.06627808,0.348856,0.0,0.6413964,0.48116276,0.20574978,0.13364056,0.3274447,0.15056263
happy,0.38482648,0.3647767,0.08517214,0.38569114,0.6691288,1.0,0.32500422,0.0052632284,0.0,0.8024989,0.69591856,0.12327005,0.46804398,0.0,0.29742047,0.49893928,0.0033885108,0.045487396,0.124905035,0.30655333
angry,0.29742733,0.2157028,0.9082177,0.32769445,0.28702283,0.0,0.47501084,0.023947585,1.0,0.14858729,0.62747973,0.05475729,0.31895453,0.0,0.37410557,0.22495165,0.88249063,0.31675142,0.13609798,0.20520392
happy,0.3829923,0.39812142,0.41244197,0.3715641,0.29281715,0.0,0.48922095,0.012518061,1.0,0.7067842,0.57877374,0.07337228,0.4849549,0.0,0.34204262,0.29760745,0.027671706,0.047991447,0.11612506,0.6962268
happy,0.27265427,0.26816887,0.36971533,0.3035631,0.35281813,0.0,0.27232516,0.9208374,0.0,0.5560376,0.8592082,0.24908763,0.5169053,0.0,0.51922804,0.57893735,0.07612926,0.12031303,0.42030564,0.120473094
disgust,0.4192141,0.27411097,0.65117186,0.4721177,0.22301105,1.0,0.41113073,0.53875524,0.0,0.24457628,0.20367679,0.10068957,0.3447693,1.0,0.7426037,0.062274437,0.99165386,0.5346178,0.1493649,0.375345
sad,0.4165417,0.31529725,0.5720975,0.31153944,0.15733133,0.0,0.3814166,0.016119171,0.0,0.107438006,0.14777115,0.02540528,0.32718414,0.0,0.32155278,0.40915754,0.07216089,0.32609236,0.07861654,0.31474972
fear,0.4134051,0.32715982,0.30724254,0.32774907,0.114099175,0.0,0.4642611,0.055754866,1.0,0.05343242,0.28677785,0.21608213,0.3862287,0.0,0.7310557,0.382473,0.911141,0.42439297,0.4201646,0.3013433
neutral,0.211355,0.28927928,0.2589787,0.29010624,0.28064194,0.0,0.37730017,0.051464908,0.0,0.07824843,0.13510591,0.0643596,0.5028204,0.0,0.3031967,0.25318116,0.096834585,0.0921948,0.20597434,0.54054195
angry,0.40238613,0.3177201,0.48530537,0.26912975,0.5102985,1.0,0.48221976,0.22556184,1.0,0.71883035,0.5190046,0.4084972,0.2884294,1.0,0.400124,0.029511621,0.99184614,0.70937985,0.20455272,0.4775442
fear,0.26518,0.18531306,0.26504913,0.34843156,0.35485682,0.0,0.40653935,0.0211614,0.0,0.22943917,0.2875347,0.17790425,0.46766686,0.0,0.28382134,0.38899967,0.19675949,0.13274826,0.6845706,0.7535323
disgust,0.25145966,0.35157084,0.32361344,0.32054928,0.18463232,0.0,0.31320515,0.816144,0.0,0.13872367,0.489756,0.30377048,0.2869135,1.0,0.50152427,0.21286333,0.933389,0.19679204,0.21990201,0.2871812
happy,0.45194942,0.26369536,0.47760355,0.34533706,0.85588765,1.0,0.6349324,0.17247833,0.0,0.87961525,0.7128769,0.1637135,0.58403516,0.0,0.20060776,0.23042893,0.4773614,0.05589672,0.2218285,0.7693194
neutral,0.46229455,0.36858046,0.6781127,0.38974768,0.16546999,0.0,0.28520206,0.018904412,0.0,0.252501,0.58723956,0.26775652,0.33493206,0.0,0.51597434,0.511533,0.16590615,0.15031901,0.13197748,0.18742906
happy,0.53250647,0.25228202,0.51283777,0.37242514,0.21875553,0.0,0.380424,0.08045263,1.0,0.5041378,0.37841108,0.22204424,0.49361444,0.0,0.6929,0.45576152,0.07735854,0.070743196,0.4318962,0.47598666
neutral,0.3349406,0.20357583,0.5550496,0.31018382,0.24850172,1.0,0.44681925,0.12794644,1.0,0.26985583,0.24680814,0.16810459,0.4309852,1.0,0.56825745,0.39642942,0.27688405,0.11427294,0.23641741,0.39384845
angry,0.36505657,0.28093624,0.721301,0.28362012,0.6018263,1.0,0.6864948,0.5680901,0.0,0.3066462,0.5936303,0.5484837,0.39621565,1.0,0.36618426,0.20418406,0.94913995,0.32823545,0.12783216,0.7230501
happy,0.34505665,0.35842118,0.7069544,0.27358907,0.67742205,1.0,0.57376224,0.8078789,1.0,0.85874224,0.83277225,0.29873192,0.53411686,1.0,0.40515202,0.55856884,0.43390787,0.09183305,0.1810844,0.7735094
surprise,0.2473714,0.3407208,0.3024154,0.31309947,0.16927248,0.0,0.300335,0.43195805,1.0,0.045722302,0.5609995,0.15614101,0.47381443,0.0,0.38087684,0.47003597,0.75027573,0.1519557,0.2884837,0.20359106
angry,0.38671044,0.37675643,0.71665263,0.2693325,0.42133796,1.0,0.62223095,0.5798784,0.0,0.17188452,0.7618838,0.61718345,0.5075639,0.0,0.54438287,0.5341335,0.40503514,0.1390934,0.0571808,0.51270306
neutral,0.57881284,0.5112568,0.26274735,0.5086963,0.081716515,1.0,0.31967306,0.0024466806,1.0,0.07268736,0.30793595,0.5605495,0.38670525,0.0,0.37151948,0.33038777,0.04811306,0.13964239,0.21853848,0.21017477
neutral,0.60639036,0.6343727,0.13144998,0.72922885,0.061175488,0.0,0.1098971,0.0035993815,1.0,0.03984163,0.25315142,0.20478532,0.44598448,0.0,0.6114816,0.32624197,0.41471967,0.09896204,0.11456111,0.044284895
neutral,0.33072934,0.27878144,0.12151573,0.41723424,0.12520455,0.0,0.12888023,0.013397279,0.0,0.06282873,0.16560371,0.093081206,0.42759648,0.0,0.44757307,0.19715111,0.86059946,0.08359635,0.024640102,0.05449479
happy,0.3317784,0.18582533,0.13103718,0.31390473,0.80370474,0.0,0.42046103,0.16261177,0.0,0.876244,0.68380165,0.2549411,0.5599023,0.0,0.5095952,0.5823757,0.07756824,0.15749103,0.2024878,0.80974364
happy,0.48045242,0.23981698,0.44292435,0.337635,0.39833868,1.0,0.34867653,0.071920745,0.0,0.82672805,0.5695432,0.08753451,0.5459412,0.0,0.4997679,0.43333593,0.9507875,0.08686241,0.3199613,0.25618
neutral,0.1967153,0.19468763,0.18051116,0.33396938,0.5762132,1.0,0.46131524,0.11319151,0.0,0.46800464,0.5653114,0.09818067,0.41818112,0.0,0.43226066,0.31246924,0.43130422,0.13491403,0.3380001,0.38214567
surprise,0.31184936,0.26216322,0.24553187,0.45534176,0.35145536,0.0,0.32960021,0.91595,1.0,0.6982406,0.5993603,0.24545348,0.22718658,1.0,0.46695665,0.19647819,0.9989918,0.73942494,0.06738494,0.14953364
surprise,0.38679,0.19809243,0.3873941,0.3664025,0.3356882,1.0,0.43757284,0.029173153,1.0,0.2191385,0.1630571,0.10494743,0.35299337,1.0,0.52564865,0.02035062,0.9998921,0.6759647,0.11362432,0.35910794
happy,0.31398466,0.25364283,0.25715286,0.2513114,0.8894984,1.0,0.555163,0.9958332,1.0,0.9322849,0.8514228,0.38783866,0.58094317,0.0,0.2659097,0.7742274,0.42539525,0.037428446,0.6321781,0.22395052
happy,0.34604144,0.23840083,0.47039402,0.2786225,0.5415823,1.0,0.47897723,0.078540035,1.0,0.6414182,0.68835026,0.45027852,0.444998,0.0,0.29402602,0.37080157,0.049175553,0.08707124,0.37465113,0.7953985
sad,0.3124107,0.1176384,0.36505488,0.28323418,0.31992868,1.0,0.24516861,0.11972284,1.0,0.08335726,0.33489648,0.36114103,0.42591462,0.0,0.30024496,0.46530244,0.021543393,0.2121819,0.08621071,0.21770917
surprise,0.41137683,0.22846156,0.4178768,0.25516796,0.22501633,1.0,0.33984864,0.5877147,1.0,0.09664822,0.43147492,0.15771653,0.35508224,0.0,0.34065342,0.54303396,0.47704417,0.13261719,0.12966079,0.31165242
fear,0.26949444,0.18003233,0.19148442,0.3678485,0.18403889,0.0,0.25693864,0.002968717,1.0,0.035059396,0.2420682,0.082750246,0.31384438,0.0,0.5978394,0.23255366,0.85774755,0.11992635,0.4737003,0.16507694
neutral,0.2540783,0.2169058,0.1269544,0.445154,0.2661794,0.0,0.3473486,0.0010529867,0.0,0.26992032,0.22859567,0.36309198,0.4334063,0.0,0.52635235,0.44516975,0.26905403,0.07222257,0.10934048,0.26400605
surprise,0.2348793,0.22368965,0.15058835,0.40245163,0.3388638,0.0,0.39631152,0.027358688,1.0,0.2405227,0.4962226,0.112907134,0.5130484,0.0,0.570417,0.3874179,0.34990686,0.1138841,0.1621735,0.30865592
surprise,0.41191745,0.59769446,0.45836523,0.38557386,0.27501658,0.0,0.5849686,0.0068091955,0.0,0.22334605,0.3159221,0.07523178,0.49779564,1.0,0.45428348,0.39122608,0.3984171,0.047982723,0.16552547,0.5375509
happy,0.3898208,0.56514364,0.60706574,0.2867081,0.53180885,0.0,0.633515,0.03683972,1.0,0.76746345,0.6857131,0.30010107,0.4707562,0.0,0.614007,0.550367,0.5509041,0.14942029,0.26481044,0.82207954
angry,0.48777997,0.40631774,0.8028255,0.29737738,0.27002785,0.0,0.45802656,0.24860542,0.0,0.27109203,0.29311043,0.19964592,0.34044388,1.0,0.72590494,0.40581506,0.9478715,0.39029932,0.34051108,0.17312962
surprise,0.54751253,0.3465405,0.63474125,0.363588,0.24614581,0.0,0.46763724,0.006191438,0.0,0.102113515,0.21563223,0.0191405,0.33685574,1.0,0.27407718,0.2700906,0.83189523,0.15233439,0.10073925,0.11889802
happy,0.40090767,0.3003096,0.7432437,0.2353912,0.4372436,1.0,0.5766972,0.58900505,1.0,0.8014748,0.7217501,0.25776613,0.33573347,0.0,0.517545,0.61081374,0.041312788,0.14930984,0.39372993,0.4893859
happy,0.37521827,0.32334554,0.30737224,0.3173874,0.37758675,1.0,0.5004099,0.02858619,1.0,0.75920045,0.40012318,0.38298032,0.46387938,0.0,0.6943339,0.52656376,0.42023575,0.05745577,0.13592096,0.5592655
angry,0.33176488,0.29040876,0.34272766,0.34531564,0.10935768,1.0,0.35100493,0.23184575,0.0,0.25703466,0.356474,0.22569217,0.3823534,0.0,0.4097394,0.22978161,0.2571176,0.15613894,0.34327358,0.19321644
neutral,0.16865098,0.3194196,0.20012991,0.30062106,0.19445947,0.0,0.36529317,0.006977563,1.0,0.06986203,0.2607374,0.09593924,0.46466383,0.0,0.37468654,0.32237875,0.013718339,0.13026136,0.049255665,0.24329181
disgust,0.39689893,0.14281039,0.2265999,0.3099065,0.30323148,1.0,0.2869434,0.16581754,1.0,0.11153405,0.17326237,0.110747,0.3749084,1.0,0.34172076,0.050748326,0.88596743,0.3994656,0.2239269,0.27725062
fear,0.51528895,0.16953348,0.3968293,0.30529767,0.21864736,0.0,0.34944928,0.63630986,0.0,0.24557592,0.69812065,0.14678931,0.36801568,0.0,0.40305442,0.46772715,0.01904557,0.05592839,0.071905315,0.10590071
neutral,0.2877141,0.33071125,0.47378612,0.25891328,0.4993892,0.0,0.43454212,0.41567987,1.0,0.60573304,0.7153281,0.5212949,0.4270253,1.0,0.43677545,0.6571977,0.1521078,0.04352124,0.40198013,0.33293027
disgust,0.41789705,0.33625278,0.8104484,0.4556117,0.23158774,0.0,0.4947953,0.024843913,1.0,0.15947333,0.49306208,0.6443564,0.46080408,0.0,0.52660954,0.5618734,0.076127514,0.042281523,0.11323444,0.11025872
happy,0.40955392,0.42543533,0.5636155,0.28092024,0.21956836,1.0,0.5223787,0.008031239,1.0,0.7674284,0.4049883,0.5316416,0.5086157,0.0,0.6787977,0.57012135,0.14587061,0.12401515,0.32253695,0.5033489
happy,0.27594462,0.19077934,0.19904582,0.2734332,0.5534506,0.0,0.629174,0.9862753,1.0,0.8133992,0.60343635,0.43900096,0.3898041,0.0,0.25888875,0.27719355,0.19260874,0.17799799,0.26506254,0.7650543
happy,0.3680783,0.26079723,0.7548819,0.27948445,0.7409589,1.0,0.49898237,0.5609976,0.0,0.9216021,0.7725199,0.29485866,0.5978639,0.0,0.46523482,0.737396,0.04567136,0.076627135,0.18471307,0.615331
fear,0.2745913,0.21396692,0.19994947,0.38636377,0.18668641,0.0,0.40894073,0.0075325402,0.0,0.23840763,0.41153923,0.38097018,0.42873576,0.0,0.44294512,0.75543344,0.31339908,0.18371293,0.2517565,0.45309687
happy,0.4462127,0.2944688,0.34359142,0.39034152,0.8854571,1.0,0.5883429,0.024613963,0.0,0.9386938,0.7099437,0.23347536,0.4429527,0.0,0.34978545,0.3119022,0.9867649,0.14099155,0.27903214,0.821686
sad,0.3345471,0.24448255,0.20824234,0.5395701,0.0846815,0.0,0.1331943,0.0010828612,0.0,0.020204889,0.35122886,0.18687144,0.3087983,0.0,0.3590958,0.2284934,0.7508557,0.23846751,0.07491859,0.039955985
fear,0.4346573,0.20836152,0.46435276,0.4366233,0.13876213,0.0,0.3879521,0.0026301963,0.0,0.07532562,0.17073016,0.18658721,0.41240436,0.0,0.5457578,0.18065631,0.23282197,0.089941174,0.16892605,0.13033865
fear,0.34121174,0.23069756,0.45574984,0.41346997,0.22383085,0.0,0.32320866,0.04090172,0.0,0.19380715,0.23488542,0.09718349,0.4119986,0.0,0.312542,0.46641624,0.023792874,0.12525567,0.37361953,0.4768744
angry,0.24346183,0.20825487,0.37634748,0.32333335,0.1562566,0.0,0.27665332,0.042857613,0.0,0.2059889,0.60370415,0.09126897,0.4317215,0.0,0.5613081,0.6087292,0.11087148,0.09880552,0.060280975,0.16037013
happy,0.33831885,0.4269534,0.43818113,0.26552615,0.54158646,1.0,0.5656521,0.55147636,1.0,0.8718599,0.6650512,0.6195135,0.5361102,0.0,0.3696003,0.54119325,0.28664446,0.08843029,0.5900222,0.7461195
neutral,0.29977313,0.18049057,0.22363581,0.30936283,0.38731378,0.0,0.46416047,0.1444819,0.0,0.24755222,0.45567206,0.3197772,0.5007597,1.0,0.5021817,0.5907544,0.03692628,0.16355723,0.13951656,0.1598884
surprise,0.56747645,0.23503496,0.720873,0.33175474,0.13162133,1.0,0.4064178,0.6288003,0.0,0.099040814,0.55784523,0.14764519,0.37060925,1.0,0.5979357,0.20670271,0.90118444,0.33425006,0.20526308,0.1654943
angry,0.41638827,0.19253169,0.54496795,0.46661887,0.1609717,1.0,0.408329,0.04846158,0.0,0.16609709,0.124932714,0.300861,0.31365445,1.0,0.52996427,0.061355118,0.93582654,0.0988028,0.2536396,0.16393115
neutral,0.36581752,0.3539432,0.71754134,0.4605971,0.12355949,0.0,0.19474708,0.071027614,0.0,0.024976453,0.25122583,0.59525657,0.4287134,0.0,0.58809334,0.5619608,0.017738044,0.12715472,0.43381807,0.092293784
fear,0.35064712,0.19804527,0.40127775,0.31851366,0.38817734,0.0,0.26609352,0.44691315,0.0,0.088965,0.26255465,0.26579702,0.5122038,0.0,0.44673055,0.33895096,0.14674917,0.16665228,0.09617108,0.28645948
happy,0.41872108,0.5179136,0.7866911,0.30482376,0.57699996,1.0,0.68041784,0.0025511296,1.0,0.710897,0.7549847,0.5339781,0.5588543,1.0,0.43130508,0.49325407,0.1773606,0.046971053,0.20402856,0.8640411
happy,0.4772464,0.537931,0.49662358,0.25054228,0.7397893,1.0,0.6539219,0.033947665,1.0,0.86268157,0.6891105,0.56285274,0.43994465,0.0,0.31061354,0.5483339,0.17721733,0.1608464,0.5528429,0.81765825
sad,0.36240903,0.18149427,0.73139644,0.3225145,0.2759899,0.0,0.5643619,0.16333151,0.0,0.16626532,0.5168736,0.3298956,0.47666705,0.0,0.4668919,0.5065317,0.3322693,0.20036906,0.6947067,0.56216323
surprise,0.3523081,0.24244389,0.4580537,0.3398114,0.2615443,1.0,0.46749935,0.9498359,1.0,0.40290648,0.21506582,0.20194827,0.2803285,1.0,0.77582675,0.061770678,0.9952473,0.83161455,0.11399822,0.49246064
angry,0.32633764,0.21062595,0.48352638,0.33657122,0.2703988,0.0,0.46575284,0.72005165,1.0,0.33671868,0.25561652,0.7658262,0.44991127,0.0,0.3315915,0.4336019,0.95024705,0.1988682,0.46910453,0.23524956
neutral,0.42685902,0.23898591,0.15459146,0.42955282,0.1095039,1.0,0.25510943,0.048624236,0.0,0.19096364,0.24262564,0.1769309,0.43638086,0.0,0.4823421,0.354282,0.021481713,0.05905317,0.379988,0.15414411
neutral,0.35560068,0.40153733,0.10486751,0.392452,0.10157443,0.0,0.09306247,0.012941142,0.0,0.031077059,0.27701467,0.16329654,0.5447649,0.0,0.3332238,0.3324475,0.15745069,0.15548664,0.069872685,0.03784041
surprise,0.29900825,0.25928494,0.6079192,0.29223165,0.2556594,0.0,0.39929038,0.04591775,0.0,0.12902284,0.19902775,0.2351247,0.35537958,1.0,0.29442188,0.325829,0.9405991,0.32886568,0.06327782,0.2590569
neutral,0.24593711,0.14541382,0.2655987,0.34773386,0.1319505,0.0,0.14213061,0.08572862,0.0,0.10184642,0.624502,0.27759218,0.4340541,0.0,0.8138602,0.67394954,0.0201825,0.10539767,0.19171932,0.052771885
surprise,0.4460677,0.27790958,0.44315886,0.35705438,0.10368866,1.0,0.49801165,0.060635675,0.0,0.2080454,0.33912513,0.05304569,0.3912168,1.0,0.6717631,0.44160888,0.4754954,0.23661026,0.1396075,0.17720214
angry,0.53856456,0.30413485,0.4603022,0.41986227,0.553558,1.0,0.57489735,0.9833999,0.0,0.7249785,0.523421,0.15995835,0.28170156,1.0,0.36729172,0.065001935,0.9998172,0.6847397,0.052013133,0.4758021
neutral,0.22205323,0.2756802,0.10917862,0.4073934,0.4387352,1.0,0.37353492,0.022949459,1.0,0.349917,0.53342897,0.16939934,0.49040604,0.0,0.50539845,0.4727944,0.024297968,0.029891524,0.20713377,0.12474977
happy,0.35571954,0.29516557,0.46465293,0.2626047,0.5667955,1.0,0.5352327,0.18531106,1.0,0.70835084,0.6205357,0.065743685,0.3960147,1.0,0.49310127,0.53013736,0.04526082,0.116807885,0.46486598,0.76786596
neutral,0.32388657,0.16877429,0.3487286,0.56198645,0.15701449,0.0,0.25018293,0.00028841142,1.0,0.10099356,0.20383133,0.35046336,0.4570146,0.0,0.23337214,0.3464654,0.6249948,0.1704336,0.122964315,0.12969889
neutral,0.35565197,0.2826756,0.049312558,0.34542322,0.15753274,0.0,0.14095272,0.04308603,0.0,0.047002263,0.48468074,0.103735656,0.45456964,0.0,0.5616117,0.6516092,0.011971303,0.088206954,0.18267342,0.039386783
neutral,0.29722753,0.38009897,0.51533073,0.29496226,0.18236469,0.0,0.43905452,0.001700716,0.0,0.21903373,0.3442812,0.04590668,0.4292479,1.0,0.39265686,0.44801438,0.07480678,0.1443273,0.16309553,0.7944551
angry,0.2546496,0.2817755,0.8975685,0.23484474,0.4303737,1.0,0.3744034,0.017957866,1.0,0.5733934,0.40036595,0.35495055,0.3308349,1.0,0.45316172,0.04866427,0.99663097,0.66067994,0.028407492,0.65577537
angry,0.32119542,0.15857896,0.9375776,0.30886436,0.09663821,1.0,0.22609784,0.02360475,0.0,0.0202975,0.36511075,0.48528773,0.46085033,0.0,0.4249072,0.5272718,0.30868056,0.22971714,0.37686494,0.1133895
happy,0.43693006,0.3752403,0.7652178,0.27845663,0.44855374,0.0,0.4810861,0.049907546,1.0,0.7068633,0.58328617,0.09579901,0.48789164,0.0,0.53596246,0.51315975,0.73140466,0.089046344,0.18323709,0.4387832
sad,0.43123308,0.2107001,0.48915368,0.32572362,0.13806503,1.0,0.37964648,0.71056616,1.0,0.2778271,0.658765,0.61374116,0.5417688,0.0,0.5780627,0.7404453,0.0035983026,0.06693806,0.2998708,0.20397514
neutral,0.38587543,0.2901659,0.1317763,0.30229428,0.27535796,0.0,0.2928957,0.0042722323,0.0,0.04583793,0.27323008,0.08873325,0.53105336,0.0,0.3985527,0.35538042,0.046120297,0.11957962,0.17482533,0.5113846
angry,0.3199798,0.18208177,0.743291,0.3314549,0.35468823,1.0,0.5346233,0.34335896,1.0,0.33064088,0.385718,0.3778841,0.50683963,0.0,0.19322829,0.5159733,0.988206,0.31130219,0.027577251,0.3473092
happy,0.34362963,0.32611266,0.5159796,0.26222283,0.6624686,1.0,0.52020895,0.043871414,1.0,0.89845854,0.7597345,0.13825823,0.50216466,0.0,0.39896047,0.42812213,0.47306085,0.25981078,0.4101919,0.8190217
neutral,0.23448746,0.1542476,0.33912504,0.25279513,0.4390576,1.0,0.2504237,0.40225524,1.0,0.23940687,0.48782706,0.136451,0.6199866,0.0,0.31271315,0.41652414,0.023617057,0.11219508,0.094928525,0.33424962
happy,0.32373378,0.32376242,0.5878279,0.25817376,0.32770726,0.0,0.56019974,0.03513129,1.0,0.65952945,0.49517727,0.5605869,0.5551796,0.0,0.41856655,0.48839006,0.33642593,0.09405972,0.3235673,0.750573
surprise,0.25978434,0.20029257,0.20632908,0.2815575,0.27660602,0.0,0.34592924,0.68415713,1.0,0.2093666,0.21168827,0.3678362,0.38188255,1.0,0.42501143,0.5603769,0.9866873,0.37950087,0.36781764,0.26167923
fear,0.23290613,0.17757459,0.36500266,0.28627333,0.29104295,1.0,0.3229208,0.024489636,0.0,0.18645933,0.3099534,0.28378597,0.49955165,0.0,0.67642635,0.4991228,0.7525713,0.03500565,0.59091276,0.4619531
surprise,0.5160609,0.21926907,0.4790793,0.3410594,0.12535655,1.0,0.4261659,0.0500011,0.0,0.21105918,0.16999555,0.073390804,0.3196144,1.0,0.4532705,0.11890426,0.96447533,0.14220284,0.046250384,0.26190412
surprise,0.25943163,0.158513,0.31029284,0.27870375,0.25903112,0.0,0.3163796,0.2568656,1.0,0.18524179,0.21750298,0.19636056,0.33518505,1.0,0.48985866,0.25914878,0.9830374,0.6437837,0.2933171,0.58067155
happy,0.38800934,0.2995846,0.62487376,0.26033857,0.84444433,1.0,0.6535416,0.041638345,0.0,0.8765781,0.6266098,0.45506886,0.57225895,0.0,0.43562362,0.32452786,0.9427865,0.045462787,0.37600133,0.8124503
